,Sample Name,Source Plate Name,Source Well,Destination Well,Transfer Volume,Destination Plate Name,Source Plate Type
466,PBS,af_src001,I11,E18,1950,dest_plate,384PP_AQ_BP
467,PBS,af_src001,I11,E20,1325,dest_plate,384PP_AQ_BP
468,PBS,af_src001,I11,E21,2000,dest_plate,384PP_AQ_BP
469,PBS,af_src001,I11,E23,1200,dest_plate,384PP_AQ_BP
470,PBS,af_src001,I11,E24,1550,dest_plate,384PP_AQ_BP
471,PBS,af_src001,I11,F1,1750,dest_plate,384PP_AQ_BP
472,PBS,af_src001,I11,F2,1850,dest_plate,384PP_AQ_BP
473,PBS,af_src001,I12,F3,1950,dest_plate,384PP_AQ_BP
474,PBS,af_src001,I11,F5,1325,dest_plate,384PP_AQ_BP
475,PBS,af_src001,I12,F6,2000,dest_plate,384PP_AQ_BP
476,PBS,af_src001,I12,F8,1200,dest_plate,384PP_AQ_BP
477,PBS,af_src001,I12,F9,1550,dest_plate,384PP_AQ_BP
478,PBS,af_src001,I12,F10,1750,dest_plate,384PP_AQ_BP
479,PBS,af_src001,I12,F11,1850,dest_plate,384PP_AQ_BP
480,PBS,af_src001,I12,F12,1950,dest_plate,384PP_AQ_BP
481,PBS,af_src001,I12,F14,1325,dest_plate,384PP_AQ_BP
482,PBS,af_src001,I12,F15,2000,dest_plate,384PP_AQ_BP
483,PBS,af_src001,I12,F17,1200,dest_plate,384PP_AQ_BP
484,PBS,af_src001,I12,F18,1550,dest_plate,384PP_AQ_BP
485,PBS,af_src001,I12,F19,1750,dest_plate,384PP_AQ_BP
486,PBS,af_src001,I12,F20,1850,dest_plate,384PP_AQ_BP
487,PBS,af_src001,I12,F21,1950,dest_plate,384PP_AQ_BP
488,PBS,af_src001,I12,F23,1325,dest_plate,384PP_AQ_BP
489,PBS,af_src001,I12,F24,2000,dest_plate,384PP_AQ_BP
490,PBS,af_src001,I12,G2,1200,dest_plate,384PP_AQ_BP
491,PBS,af_src001,I12,G3,1550,dest_plate,384PP_AQ_BP
492,PBS,af_src001,I12,G4,1750,dest_plate,384PP_AQ_BP
493,PBS,af_src001,I12,G5,1850,dest_plate,384PP_AQ_BP
494,PBS,af_src001,I12,G6,1950,dest_plate,384PP_AQ_BP
495,PBS,af_src001,I12,G8,1325,dest_plate,384PP_AQ_BP
496,PBS,af_src001,I12,G9,2000,dest_plate,384PP_AQ_BP
497,PBS,af_src001,I13,G11,1200,dest_plate,384PP_AQ_BP
498,PBS,af_src001,I13,G12,1550,dest_plate,384PP_AQ_BP
499,PBS,af_src001,I13,G13,1750,dest_plate,384PP_AQ_BP
